,연면적,용적률산정연면적,대지면적,층수,지하층수,지상층수,승강기수,의사수,병상수,USE_QTY_kWh
연면적,1.0,0.9781049913873235,0.8188329427027033,0.6627381476996775,0.6490055191545494,0.5574726272445019,0.9235748077696466,0.7603822774018306,0.7508751296515862,0.9188316502446492
용적률산정연면적,0.9781049913873235,1.0,0.8537436354336179,0.6776755190786898,0.5729612675510083,0.6133876420612143,0.8988637004347522,0.8010406897575396,0.7773025740913944,0.9053161205682385
대지면적,0.8188329427027033,0.8537436354336179,1.0,0.3909239902688308,0.33659223710797564,0.35093503783636615,0.790713299657144,0.6443982368092225,0.6725025477680123,0.6784681338073898
층수,0.6627381476996775,0.6776755190786898,0.3909239902688308,1.0,0.7531890070899699,0.9492590387656834,0.6053921024395063,0.6615640552044305,0.5351992517303227,0.6908829868824607
지하층수,0.6490055191545494,0.5729612675510083,0.33659223710797564,0.7531890070899699,1.0,0.508095171792219,0.6409866130175321,0.4781438920356045,0.4132710097313745,0.6011977122677812
지상층수,0.5574726272445019,0.6133876420612143,0.35093503783636615,0.9492590387656834,0.508095171792219,1.0,0.4862199708063385,0.6376240310541436,0.5031829422364685,0.6171811357064435
승강기수,0.9235748077696466,0.8988637004347522,0.790713299657144,0.6053921024395063,0.6409866130175321,0.4862199708063385,1.0,0.7303945430937218,0.6677020640314213,0.808016586967486
의사수,0.7603822774018306,0.8010406897575396,0.6443982368092225,0.6615640552044305,0.4781438920356045,0.6376240310541436,0.7303945430937218,1.0,0.7893369461851183,0.8530711356442509
병상수,0.7508751296515862,0.7773025740913944,0.6725025477680123,0.5351992517303227,0.4132710097313745,0.5031829422364685,0.6677020640314213,0.7893369461851183,1.0,0.7690936362976081
USE_QTY_kWh,0.9188316502446492,0.9053161205682385,0.6784681338073898,0.6908829868824607,0.6011977122677812,0.6171811357064435,0.808016586967486,0.8530711356442509,0.7690936362976081,1.0
