,승강기수,의사수,병상수,용적률산정연면적,대지면적,연면적,지하층수,지상층수,층수,주용도비율,USE_QTY_kWh
승강기수,1.0,0.708376398357002,0.49332192721572415,0.8388158416558645,0.4640433707748083,0.8732245265584826,0.4813188333868673,0.40114128234458846,0.47014171407544814,-0.046362412515481254,0.6924269532207311
의사수,0.708376398357002,1.0,0.5162398948044751,0.8115817373672357,0.38955220115035405,0.8014656977240646,0.3965318138733381,0.40652912365931393,0.44718123108800106,-0.023383250085733977,0.8692433969353599
병상수,0.49332192721572415,0.5162398948044751,1.0,0.6574368505535609,0.4481893522145269,0.5853644425253547,0.24751641687207626,0.2834546689650907,0.3025062922840523,-0.010386974367666961,0.5439044217071187
용적률산정연면적,0.8388158416558645,0.8115817373672357,0.6574368505535609,1.0,0.5923278701132656,0.9700169817834868,0.4051400537244939,0.4395124210196521,0.47590308748789617,-0.04921981255111984,0.839402183475252
대지면적,0.4640433707748083,0.38955220115035405,0.4481893522145269,0.5923278701132656,1.0,0.5661850244584831,0.051783986939062325,-0.1155583708480589,-0.07433944486056245,0.059485604436606734,0.4384576296519967
연면적,0.8732245265584826,0.8014656977240646,0.5853644425253547,0.9700169817834868,0.5661850244584831,1.0,0.45941380706263957,0.387611245308388,0.452465118360676,-0.043688438772470285,0.8410745766337236
지하층수,0.4813188333868673,0.3965318138733381,0.24751641687207626,0.4051400537244939,0.051783986939062325,0.45941380706263957,1.0,0.5496835938467481,0.7534566260739956,-0.08167747276614919,0.38411528070133066
지상층수,0.40114128234458846,0.40652912365931393,0.2834546689650907,0.4395124210196521,-0.1155583708480589,0.387611245308388,0.5496835938467481,1.0,0.9634184601342545,-0.15218429675481163,0.38674545456352205
층수,0.47014171407544814,0.44718123108800106,0.3025062922840523,0.47590308748789617,-0.07433944486056245,0.452465118360676,0.7534566260739956,0.9634184601342545,1.0,-0.1459833108796198,0.4276266518898737
주용도비율,-0.046362412515481254,-0.023383250085733977,-0.010386974367666961,-0.04921981255111984,0.059485604436606734,-0.043688438772470285,-0.08167747276614919,-0.15218429675481163,-0.1459833108796198,1.0,-0.045942845440311395
USE_QTY_kWh,0.6924269532207311,0.8692433969353599,0.5439044217071187,0.839402183475252,0.4384576296519967,0.8410745766337236,0.38411528070133066,0.38674545456352205,0.4276266518898737,-0.045942845440311395,1.0
